0,rank,1/rank
79.0,80.0,0.0125
29.0,30.0,0.03333333333333333
11.0,12.0,0.08333333333333333
351.0,326.0,0.003067484662576687
33.0,34.0,0.029411764705882353
139.0,140.0,0.007142857142857143
20.0,21.0,0.047619047619047616
141.0,142.0,0.007042253521126761
48.0,49.0,0.02040816326530612
25.0,26.0,0.038461538461538464
87.0,88.0,0.011363636363636364
39.0,40.0,0.025
91.0,92.0,0.010869565217391304
7.0,8.0,0.125
114.0,115.0,0.008695652173913044
36.0,37.0,0.02702702702702703
12.0,13.0,0.07692307692307693
160.0,161.0,0.006211180124223602
207.0,207.0,0.004830917874396135
295.0,285.0,0.0035087719298245615
51.0,52.0,0.019230769230769232
28.0,29.0,0.034482758620689655
6.0,7.0,0.14285714285714285
175.0,176.0,0.005681818181818182
48.0,49.0,0.02040816326530612
13.0,14.0,0.07142857142857142
34.0,35.0,0.02857142857142857
20.0,21.0,0.047619047619047616
44.0,45.0,0.022222222222222223
106.0,107.0,0.009345794392523364
0.0,1.0,1.0
43.0,44.0,0.022727272727272728
67.0,68.0,0.014705882352941176
7.0,8.0,0.125
24.0,25.0,0.04
24.0,25.0,0.04
43.0,44.0,0.022727272727272728
417.0,365.0,0.0027397260273972603
6.0,7.0,0.14285714285714285
142.0,143.0,0.006993006993006993
151.0,152.0,0.006578947368421052
236.0,232.0,0.004310344827586207
1801.0,596.0,0.0016778523489932886
0.0,1.0,1.0
92.0,93.0,0.010752688172043012
150.0,151.0,0.006622516556291391
0.0,1.0,1.0
6.0,7.0,0.14285714285714285
39.0,40.0,0.025
13.0,14.0,0.07142857142857142
95.0,96.0,0.010416666666666666
23.0,24.0,0.041666666666666664
7.0,8.0,0.125
28.0,29.0,0.034482758620689655
430.0,371.0,0.0026954177897574125
8.0,9.0,0.1111111111111111
0.0,1.0,1.0
0.0,1.0,1.0
65.0,66.0,0.015151515151515152
7.0,8.0,0.125
12.0,13.0,0.07692307692307693
26.0,27.0,0.037037037037037035
31.0,32.0,0.03125
7.0,8.0,0.125
28.0,29.0,0.034482758620689655
203.0,203.0,0.0049261083743842365
122.0,123.0,0.008130081300813009
143.0,144.0,0.006944444444444444
51.0,52.0,0.019230769230769232
23.0,24.0,0.041666666666666664
0.0,1.0,1.0
40.0,41.0,0.024390243902439025
274.0,268.0,0.0037313432835820895
86.0,87.0,0.011494252873563218
115.0,116.0,0.008620689655172414
106.0,107.0,0.009345794392523364
42.0,43.0,0.023255813953488372
55.0,56.0,0.017857142857142856
24.0,25.0,0.04
149.0,150.0,0.006666666666666667
402.0,356.0,0.0028089887640449437
32.0,33.0,0.030303030303030304
38.0,39.0,0.02564102564102564
57.0,58.0,0.017241379310344827
717.0,486.0,0.00205761316872428
276.0,270.0,0.003703703703703704
11.0,12.0,0.08333333333333333
13.0,14.0,0.07142857142857142
2.0,3.0,0.3333333333333333
80.0,81.0,0.012345679012345678
